,precision,recall,f1-score,accuracy
0,0.8627,0.8265,0.8221,0.8265
1,0.846,0.8259,0.8233,0.8259
2,0.8648,0.8476,0.8458,0.8476
3,0.8408,0.8317,0.8305,0.8317
4,0.8644,0.848,0.8462,0.848
Average,0.8557,0.8359,0.8336,0.8359
Standard deviation,0.0114,0.011,0.0118,0.011
Confidence Interval low,0.8457,0.8263,0.8233,0.8263
Confidence Interval high,0.8658,0.8456,0.8439,0.8456
