,precision,recall,f1-score
0,0.9772,0.6687,0.794
1,0.9293,0.7054,0.802
2,0.9441,0.7389,0.829
3,0.8967,0.7498,0.8167
4,0.9419,0.7417,0.8299
Average,0.9378,0.7209,0.8143
Standard deviation,0.029,0.0337,0.016
Confidence Interval low,0.9124,0.6913,0.8003
Confidence Interval high,0.9633,0.7505,0.8284
