,precision,recall,f1-score
0,0.7482,0.9844,0.8502
1,0.7626,0.9463,0.8446
2,0.7855,0.9562,0.8625
3,0.785,0.9136,0.8444
4,0.7869,0.9542,0.8626
Average,0.7737,0.951,0.8529
Standard deviation,0.0174,0.0254,0.0091
Confidence Interval low,0.7584,0.9287,0.8449
Confidence Interval high,0.7889,0.9732,0.8609
