,precision,recall,f1-score
0,0.8191,0.4642,0.5926
1,0.7488,0.5482,0.633
2,0.8032,0.4865,0.606
3,0.7516,0.584,0.6573
4,0.8524,0.4416,0.5818
Average,0.795,0.5049,0.6141
Standard deviation,0.0446,0.0594,0.0308
Confidence Interval low,0.7559,0.4528,0.5871
Confidence Interval high,0.8342,0.557,0.6411
