,precision,recall,f1-score
0,0.6262,0.8975,0.7377
1,0.6437,0.8161,0.7197
2,0.6317,0.8808,0.7358
3,0.6598,0.8069,0.726
4,0.6232,0.9236,0.7442
Average,0.6369,0.865,0.7327
Standard deviation,0.015,0.0512,0.0097
Confidence Interval low,0.6238,0.8201,0.7241
Confidence Interval high,0.6501,0.9099,0.7412
