,precision,recall,f1-score
0,0.6556,0.8353,0.7346
1,0.6577,0.8091,0.7256
2,0.6488,0.8045,0.7183
3,0.6317,0.7741,0.6957
4,0.6558,0.7882,0.7159
Average,0.6499,0.8022,0.718
Standard deviation,0.0107,0.0231,0.0145
Confidence Interval low,0.6405,0.782,0.7053
Confidence Interval high,0.6593,0.8225,0.7307
