,precision,recall,f1-score
0,0.7731,0.5612,0.6504
1,0.752,0.5789,0.6542
2,0.7427,0.5645,0.6415
3,0.7084,0.5486,0.6183
4,0.7346,0.5863,0.6521
Average,0.7422,0.5679,0.6433
Standard deviation,0.0237,0.0149,0.0148
Confidence Interval low,0.7213,0.5548,0.6303
Confidence Interval high,0.763,0.581,0.6563
