,precision,recall,f1-score,accuracy
0,0.7144,0.6983,0.6925,0.6983
1,0.7048,0.694,0.6899,0.694
2,0.6958,0.6845,0.6799,0.6845
3,0.67,0.6614,0.657,0.6614
4,0.6952,0.6873,0.684,0.6873
Average,0.696,0.6851,0.6807,0.6851
Standard deviation,0.0165,0.0143,0.0141,0.0143
Confidence Interval low,0.6816,0.6725,0.6683,0.6725
Confidence Interval high,0.7105,0.6976,0.693,0.6976
