,precision,recall,f1-score
0,0.668,0.6333,0.6502
1,0.6876,0.6739,0.6807
2,0.664,0.6255,0.6442
3,0.6911,0.6511,0.6705
4,0.6782,0.7132,0.6952
Average,0.6778,0.6594,0.6682
Standard deviation,0.0118,0.0354,0.0212
Confidence Interval low,0.6674,0.6284,0.6496
Confidence Interval high,0.6882,0.6904,0.6867
