,precision,recall,f1-score,accuracy
0,0.6597,0.6593,0.659,0.6593
1,0.6839,0.6839,0.6838,0.6839
2,0.655,0.6545,0.6542,0.6545
3,0.6807,0.6801,0.6798,0.6801
4,0.6879,0.6874,0.6872,0.6874
Average,0.6734,0.673,0.6728,0.673
Standard deviation,0.015,0.015,0.0151,0.015
Confidence Interval low,0.6603,0.6598,0.6596,0.6598
Confidence Interval high,0.6866,0.6862,0.686,0.6862
