,precision,recall,f1-score
0,0.6514,0.6852,0.6679
1,0.6803,0.6939,0.687
2,0.646,0.6835,0.6642
3,0.6702,0.709,0.6891
4,0.6976,0.6616,0.6791
Average,0.6691,0.6866,0.6775
Standard deviation,0.0211,0.0173,0.0111
Confidence Interval low,0.6506,0.6715,0.6677
Confidence Interval high,0.6876,0.7018,0.6872
