,precision,recall,f1-score
0,0.8127,0.7782,0.7951
1,0.8371,0.7362,0.7834
2,0.8791,0.7131,0.7874
3,0.7975,0.7337,0.7643
4,0.8518,0.6942,0.765
Average,0.8357,0.7311,0.779
Standard deviation,0.0321,0.0314,0.0138
Confidence Interval low,0.8075,0.7036,0.7669
Confidence Interval high,0.8638,0.7586,0.7912
