,precision,recall,f1-score,accuracy
0,0.8,0.7995,0.7994,0.7995
1,0.8008,0.7964,0.7957,0.7964
2,0.8189,0.8075,0.8058,0.8075
3,0.7755,0.7737,0.7734,0.7737
4,0.7969,0.7867,0.7849,0.7867
Average,0.7984,0.7928,0.7918,0.7928
Standard deviation,0.0155,0.013,0.0128,0.013
Confidence Interval low,0.7849,0.7814,0.7806,0.7814
Confidence Interval high,0.812,0.8042,0.803,0.8042
