,precision,recall,f1-score
0,0.8147,0.7932,0.8038
1,0.8253,0.7967,0.8107
2,0.7887,0.8096,0.799
3,0.8094,0.7798,0.7944
4,0.7881,0.83,0.8085
Average,0.8053,0.8018,0.8033
Standard deviation,0.0164,0.019,0.0067
Confidence Interval low,0.7909,0.7852,0.7974
Confidence Interval high,0.8197,0.8185,0.8092
