,precision,recall,f1-score,accuracy
0,0.8066,0.8064,0.8064,0.8064
1,0.8144,0.814,0.814,0.814
2,0.7966,0.7964,0.7963,0.7964
3,0.7985,0.7981,0.7981,0.7981
4,0.8043,0.8034,0.8033,0.8034
Average,0.8041,0.8037,0.8036,0.8037
Standard deviation,0.0071,0.0071,0.0071,0.0071
Confidence Interval low,0.7979,0.7975,0.7974,0.7975
Confidence Interval high,0.8103,0.8099,0.8098,0.8099
