,precision,recall,f1-score
0,0.7985,0.8196,0.8089
1,0.8035,0.8314,0.8172
2,0.8044,0.7831,0.7936
3,0.7876,0.8164,0.8017
4,0.8204,0.7768,0.798
Average,0.8029,0.8055,0.8039
Standard deviation,0.0119,0.024,0.0093
Confidence Interval low,0.7925,0.7844,0.7957
Confidence Interval high,0.8133,0.8266,0.8121
